month,forecasted_crash_count,mean_predicted_cost_per_crash,total_predicted_cost
2026-01,174,307147.37,53443642.38
2026-02,273,310795.78,84847247.94
2026-03,234,314608.74,73618445.16
2026-04,249,323504.07,80552513.43
2026-05,243,311683.67,75739131.81
2026-06,246,330531.14,81310660.44
2026-07,245,324390.4,79475648.0
2026-08,245,322604.45,79038090.25
2026-09,245,331142.54,81129922.3
2026-10,245,329632.41,80759940.45
2026-11,245,307305.04,75289734.8
2026-12,245,314974.79,77168823.55
